WireLoad,Gates,Cap,Area,Delay
op1,1130.0,0.6,1146.0,1798.85
op2,1132.0,0.6,1147.0,1798.85
op3,1132.0,0.6,1147.0,1798.85
op4,1132.0,0.6,1147.0,1798.85
op5,1132.0,0.6,1147.0,1798.85
op6,1132.0,0.6,1147.0,1798.85
op7,1132.0,0.6,1147.0,1798.85
op8,1132.0,0.6,1147.0,1798.85
op9,1132.0,0.6,1147.0,1798.85
op10,1132.0,0.6,1147.0,1798.85
op11,1132.0,0.6,1147.0,1798.85
op12,1132.0,0.6,1147.0,1798.85
op13,1127.0,0.6,1145.0,1798.85
op14,1127.0,0.6,1145.0,1798.85
op15,1127.0,0.6,1145.0,1798.85
op16,1127.0,0.6,1145.0,1798.85
op17,1127.0,0.6,1145.0,1798.85
op18,1127.0,0.6,1145.0,1798.85
op19,1130.0,0.6,1146.0,1798.85
op20,1132.0,0.6,1147.0,1798.85
op21,1132.0,0.6,1147.0,1798.85
op22,1132.0,0.6,1147.0,1798.85
op23,1132.0,0.6,1147.0,1798.85
op24,1132.0,0.6,1147.0,1798.85
op25,1132.0,0.6,1147.0,1798.85
op26,1132.0,0.6,1147.0,1798.85
op27,1132.0,0.6,1147.0,1798.85
op28,1132.0,0.6,1147.0,1798.85
op29,1127.0,0.6,1145.0,1798.85
op30,1127.0,0.6,1145.0,1798.85
origin,1116.0,0.6,1175.0,2286.99
