WireLoad,Gates,Cap,Area,Delay
origin,7,0.8,9,31.88
op1,7,0.8,9,31.88
op2,7,0.8,9,31.88
op3,7,0.8,9,31.88
op4,7,0.8,9,31.88
op5,7,0.8,9,31.88
op6,7,0.8,9,31.88
op7,7,0.8,9,31.88
op8,7,0.8,9,31.88
op9,7,0.8,9,31.88
op10,7,0.8,9,31.88
op11,7,0.8,9,31.88
op12,7,0.8,9,31.88
op13,7,0.8,9,31.88
op14,7,0.8,9,31.88
op15,7,0.8,9,31.88
op16,9,0.8,10,27.51
op17,7,0.8,9,31.88
op18,7,0.6,8,39.85
op19,7,0.8,9,31.88
op20,7,0.8,9,31.88
op21,7,0.8,9,31.88
op22,9,0.6,10,35.15
op23,7,0.8,9,31.88
op24,7,0.8,9,31.88
op25,7,0.8,9,31.88
op26,7,0.8,9,31.88
op27,7,0.6,8,39.85
op28,7,0.8,9,31.88
op29,9,0.8,10,27.51
op30,7,0.8,9,31.88
